Room ID,Name,Location ID,Variant,Description,Exits to,Image variants
83,,---,,"The Reinhold Fortune treasure room, but only as an image.",,
84,Archibald's,33,Desk,A close-up of Archibald's desk,33,
85,Manor Parlour,85,???,,"12, 89",room_13_bg
86,,---,,"Viola's Grave. This isn't actually a room, but the image being called this implies that it was at some point.",,
87,Granny R.'s,87,,"Granny Riddleton's Cottage, outside (Nazobaba)","2, 21, 34, 88, 94",
88,Puzzle Shack,88,,Inside of Granny Riddleton's Cottage,87,
89,Dahlia's Room,89,,,"13, 45, 85",
90,Sewer,90,,Down the manhole on Park Road,"5, 91, 92, 97",
91,Sewer Dead End,91,,Right of the Sewer entrance,90,
92,Sewer Exit,92,,Left of the Sewer entrance,"90, 93",
93,Outside the Sewer,93,,"Behind Sewer Exit, different view on the Laytonmobile",92,
94,Village Square,2,Postgame,,"87, 95, 96, 97, 98, 108",
95,Manor Road,3,Postgame,,"94, 99, 103",
96,Entrance,4,Postgame,,"94, 100, 107",
97,Park Road,5,Postgame,,"90, 94, 101, 102",
98,Village Hall,6,Postgame,,94,
99,Village Shop,7,Postgame,"room_99_bg is a 6x4 grid of squares, seems to be technical",95,
100,Inn,8,Postgame,,96,
101,Restaurant,9,Postgame,,97,
102,Park Gate,10,Postgame,,"53, 97",
103,Manor Border,11,Postgame,,"95, 106",
104,Manor Foyer,12,Postgame,,"105, 106",
105,Manor Parlour,13,Postgame,,"89, 104, 116",
106,Reinhold Manor,14,Postgame,,"103, 104",
107,Drawbridge,1,Postgame,,96,
108,Clock Tower,16,Postgame,,"94, 109, 115",
109,Fork in the Road,17,Postgame,,"108, 110, 111, 113",
110,Market,18,Postgame,,"64, 109, 112",
111,Northern Path,19,Postgame,,"109, 112, 114",
112,Northern Hill,20,Postgame,,"110, 111",
113,Crumm's Cafe,31,Postgame,,109,
114,Prosciutto's,32,Postgame,,111,
115,Archibald's,33,Postgame,,108,
116,Dahlia's Room,89,Day 2/Postgame,,"13, 45, 85, 105",
117,Crumm's Cafe,31,???,Cafe might have been open on Day 2 at some point,49,
118,Prosciutto's,32,Day 2,,51,
119,Flora's Portrait,119,,Used for the final minigame
